round,domain,num_samples,fedit_f1,fedit_bootstrap_sd,fedit_ci95_low,fedit_ci95_high,fedrot_f1,fedrot_bootstrap_sd,fedrot_ci95_low,fedrot_ci95_high,fedrot_minus_fedit,difference_bootstrap_sd,difference_ci95_low,difference_ci95_high,p_bootstrap_difference_gt_zero
0,squad,200,82.43592761228585,2.4384290199981002,77.43345145763969,86.94405032467532,80.8762051012051,2.4501255242324524,75.87818345130844,85.46653628466129,-1.5597225110807456,1.8260892801563111,-5.1953283137833175,1.9858954906800783,0.1979
0,newsqa,200,61.34464097993509,3.0325040731764505,55.43595251970252,67.25986299239975,59.78417610664414,3.033338212806994,53.8254907455077,65.76417412478825,-1.5604648732909603,1.9059575587842141,-5.382169182870265,2.1020823868160776,0.2031
0,triviaqa,200,71.225,3.0261423615090597,65.24979166666667,77.07520833333332,68.02579175210754,3.0986936225345456,61.95512075643655,73.96939479380269,-3.1992082478924586,2.0549582068610532,-7.269770021645032,0.8137319150148073,0.0582
0,naturalquestions,200,68.070988651871,2.8749361568070473,62.30674993715435,73.51923364217483,67.90428786899375,2.922281863371009,62.108136985563455,73.58444359153917,-0.16670078287725354,1.632233954353541,-3.349199481074487,3.0317955002513903,0.4671
1,squad,200,82.52052245140482,2.2505095131378656,78.07428231898821,86.81622647164926,84.00707634659248,2.254312407074057,79.5189788392611,88.35211386507757,1.4865538951876716,1.8617061419184011,-2.1060828895435324,5.191109013535478,0.7893
1,newsqa,200,62.095751973344846,3.029863336959544,56.239615640315144,68.01088317115891,64.72889615830792,2.988012005624675,58.88249572323102,70.69265931508579,2.633144184963071,1.8986860225296478,-1.0218582792479893,6.36699783743803,0.9187
1,triviaqa,200,75.18030303030304,2.9451756580937785,69.31045454545455,80.83333333333333,75.85887445887445,2.9188627612586875,69.99044372294372,81.5,0.6785714285714285,1.8255031837547964,-2.847678571428558,4.273928571428579,0.6426
1,naturalquestions,200,72.91513149691055,2.7064303825145037,67.57552380924511,78.0955741558378,70.25747570283175,2.8926876176266023,64.56529322457729,75.779278250774,-2.65765579407881,2.2459630815486897,-7.110408343418513,1.6780568451156697,0.1141
2,squad,200,85.73625726629197,2.047062322462563,81.60039661570231,89.64479650121106,84.34169961805786,2.231711711397533,79.7912644483888,88.60282379029195,-1.3945576482341187,1.9404206276843237,-5.264204823491767,2.393949710635096,0.2341
2,newsqa,200,64.74200301332654,2.911322218026828,58.91035571046601,70.45484479572715,64.05472259728415,2.9556089065398288,58.22720710747301,69.79518533549783,-0.687280416042386,1.9705656013358681,-4.625390387371411,3.1221387721755223,0.3665
2,triviaqa,200,75.0,2.9314164119445776,69.125,80.625,75.8422077922078,2.8834947967568083,70.08022727272727,81.3691341991342,0.8422077922077921,1.8840325886240041,-2.8329247835497715,4.572045454545445,0.672
2,naturalquestions,200,73.99184214478333,2.6170466838991193,68.75237996888733,79.02901828971682,75.29291802968274,2.6837457338158814,69.92550489135049,80.34723295087265,1.3010758848994148,2.0142811284414965,-2.7074952784144006,5.2618242296918725,0.7401
3,squad,200,81.97381140101729,2.238119048569206,77.41679542271454,86.25273859310624,82.13013285733874,2.3546724068023708,77.35678783022533,86.56575570671158,0.15632145632145633,1.6798437446794023,-3.148174395049401,3.4636093073592997,0.5364
3,newsqa,200,62.816738000561536,2.924207751867989,57.146255117431586,68.5190249129955,62.25171136053489,2.9448419945281876,56.51155043077837,68.04063672030583,-0.5650266400266399,1.9433565582605696,-4.341754079254078,3.2048680833055747,0.3901
3,triviaqa,200,76.88690476190476,2.8954152264301487,71.0,82.38690476190476,75.37142857142857,2.9378672336031726,69.3952380952381,80.93113095238095,-1.5154761904761906,1.3871321075954934,-4.333333333333329,1.0845238095238163,0.1311
3,naturalquestions,200,69.6927853192559,2.7970881435330592,64.18874191984487,75.0351168031315,73.07163179957297,2.6652512632576975,67.80145497884467,78.19124291966203,3.378846480317068,1.9568834930363292,-0.388018639856871,7.287112511671324,0.9589
4,squad,200,84.21077443798032,2.22297412982483,79.76530087355455,88.45003030058177,83.68083449488248,2.195298777485985,79.24858969923696,87.77247137591083,-0.5299399430978375,1.7180440508870305,-3.8808603896103975,2.904048984641086,0.3713
4,newsqa,200,62.8562613363229,2.957726843227342,57.08923977413376,68.60802764922038,64.73511700717583,2.9164240901970415,58.95410647767266,70.3740395592969,1.8788556708529347,1.6305780727172547,-1.2713703874784663,5.108430513474967,0.878
4,triviaqa,200,77.59675324675325,2.8116397587200335,71.81031926406928,82.92838203463204,76.73333333333333,2.905347705101726,70.83291666666666,82.21666666666667,-0.8634199134199135,1.2455258633283974,-3.4013041125541243,1.4729491341991223,0.2443
4,naturalquestions,200,74.24813568784157,2.656721427334485,68.8406725872167,79.22258692288104,74.02216427363486,2.679365563322632,68.58702482566454,78.99841848102878,-0.22597141420670827,1.7462680259667973,-3.663389714860301,3.2397177781368893,0.4557
5,squad,200,86.68475756551314,2.0691641270547687,82.52334589190953,90.54500242756454,86.66489292011738,2.0490048438279946,82.56025301195193,90.55430187588469,-0.01986464539576549,1.6559816085566794,-3.3409930240038666,3.202554460458944,0.5045
5,newsqa,200,67.00920528779626,2.811634164274947,61.35488549848844,72.37024108823611,65.11881697240796,2.885239293633247,59.38934414663211,70.66305815754774,-1.8903883153883152,1.566251214355841,-5.029721875346882,1.1516872016872135,0.1121
5,triviaqa,200,77.14166666666667,2.7985740773626047,71.46666666666667,82.52562499999998,76.22749615975422,2.8842986772769703,70.4499193548387,81.81217549923194,-0.9141705069124423,1.3076331993115156,-3.5902457757296418,1.5739871351766679,0.2351
5,naturalquestions,200,75.21358429152548,2.62383028215949,69.94065510469922,80.23436207991354,76.40105329222976,2.5697986748094244,71.30087960154138,81.34932037568066,1.1874690007042954,1.3922225958474697,-1.4334110007639413,4.056104627354618,0.7994
6,squad,200,87.19020750491339,2.0808078958724945,82.9432190685132,91.12043504289827,87.55216637937227,1.9672812685652186,83.5094494047619,91.29543026826116,0.3619588744588745,1.3438185727414331,-2.203856733544238,3.1018461052836135,0.6038
6,newsqa,200,65.41177817242797,2.852924943132898,59.74956450531912,70.8956036341869,66.0495632385069,2.883649230800728,60.31600291640409,71.65804328520787,0.6377850660789379,1.6425799692692498,-2.609821986534907,3.8849026114928646,0.6533
6,triviaqa,200,77.8573593073593,2.8078250844644983,72.23333333333335,83.21212121212122,78.86082949308755,2.7605009876348436,73.33820084485406,84.19892473118279,1.0034701857282502,1.4508372477426374,-1.758434576176512,3.9189097193129405,0.7541
6,naturalquestions,200,73.10757086051203,2.6651793974593807,67.80081589162472,78.35168152925506,74.44782265281438,2.6170695456758084,69.25772192371974,79.54932401783064,1.3402517923023305,1.685674655041194,-1.8418529104491215,4.713787839588379,0.7841
7,squad,200,87.10494138214726,1.9683010928929234,83.08146135114886,90.87860978482303,84.98098013098013,2.1370435077615175,80.71160082972582,89.01819264069263,-2.1239612511671337,1.216545725428197,-4.685749405822936,0.08639788112213387,0.0304
7,newsqa,200,65.13125797405209,2.8631421526642113,59.512463333235395,70.69658689023395,65.9873344101359,2.7717519307967358,60.50812357151792,71.40263437952835,0.856076436083816,1.7600200354839846,-2.604449558611314,4.225048469542319,0.6822
7,triviaqa,200,78.10833333333333,2.7465844922877434,72.54166666666666,83.31666666666666,78.56363636363636,2.7497346612012814,73.0635606060606,83.75,0.4553030303030304,1.5436437445729745,-2.5613636363636374,3.5333333333333456,0.6157
7,naturalquestions,200,73.30273419391067,2.706135291003922,67.97947359421623,78.45670605538253,73.5835669232728,2.606892108206669,68.39790958224782,78.73304396991897,0.2808327293621411,1.5124246723039,-2.5838924474218494,3.319527625152622,0.5738
8,squad,200,87.11724296944885,1.961591011640425,83.13517368456706,90.84082933610506,85.7412267471091,2.011616113260255,81.70627056766763,89.50290559930266,-1.3760162223397518,1.2924092633792466,-3.881064507388046,1.19152269707417,0.1425
8,newsqa,200,64.97488906002837,2.935053698169626,59.253695682327645,70.76670484937318,66.71502141611239,2.871120417478363,61.057599935679534,72.39639732248675,1.7401323560840085,1.4390511421188776,-1.0851431509976424,4.598230257086507,0.8869
8,triviaqa,200,77.63225806451612,2.7766681113494047,72.06556451612903,82.98333333333332,75.24166666666667,2.898200429054554,69.4,80.79166666666666,-2.3905913978494624,1.1960965236996561,-4.900000000000006,-0.2332795698924614,0.0137
8,naturalquestions,200,72.36103128897247,2.6941690844937307,66.95698931787167,77.54129705670148,72.68850835864902,2.6623232445293765,67.4676746899733,77.84057552830092,0.327477069676558,1.261030631075858,-2.062623166475473,2.848681215239726,0.6021
9,squad,200,87.34394788218319,1.9304170480711003,83.41593084203379,90.92072192513369,86.8376525435349,1.9849647811798905,82.78525528393175,90.55609282873989,-0.50629533864828,1.434701027788806,-3.3710012210012223,2.2666666666666657,0.3648
9,newsqa,200,64.78446281960214,2.8948672115358502,59.01667655100319,70.34362456729717,65.09213265504691,2.896708647465026,59.26511303759701,70.64049130124098,0.30766983544477167,1.7183760163657313,-2.9869614815468397,3.7651974345098074,0.572
9,triviaqa,200,76.98333333333332,2.853247938243506,71.26666666666667,82.40041666666667,76.97749615975422,2.818415058108772,71.42995007680493,82.28243663594469,-0.005837173579109123,0.8681399409138298,-1.7439324116743506,1.6645161290322512,0.4922
